"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genes"
"Hspa5",1760.86580460388,1.42890847142636,0.0973127592138037,14.6836702912404,8.20275577218139e-49,4.6485016960952e-45,"Hspa5"
"Pdia6",642.242573150907,1.11129018685579,0.088371441609372,12.5752184938662,2.89000184445024e-36,8.18882022624976e-33,"Pdia6"
"Hsp90b1",883.883660175091,1.02480882909708,0.0833453814947523,12.2959282292277,9.52561973356922e-35,1.79938956767123e-31,"Hsp90b1"
"Hyou1",142.152295293627,1.34658455132329,0.11257808330234,11.9613384046244,5.66415408190334e-33,8.02469029553656e-30,"Hyou1"
"Dnajc3",217.045483506785,0.984030315069852,0.0947184865171595,10.3889995633702,2.78256382656313e-25,3.15375784102665e-22,"Dnajc3"
"Creld2",153.163904940635,1.11874616428374,0.114658602786712,9.75719341674551,1.7184501940422e-22,1.62307620827285e-19,"Creld2"
"Pdia3",969.845382862801,0.844869786643817,0.0877191663706583,9.63153004753614,5.88466282192892e-22,4.76405488741017e-19,"Pdia3"
"Sdf2l1",358.224767540426,1.08553661610586,0.116181613877801,9.34344583341407,9.32488444919898e-21,6.60551502170133e-18,"Sdf2l1"
"Calr",906.125159641566,0.762934890334942,0.0843718178327516,9.0425323281204,1.53083605267297e-19,9.63916434499748e-17,"Calr"
"Manf",259.546681151636,1.17639337767691,0.132027484950588,8.91021576391597,5.09333448087526e-19,2.88639265031201e-16,"Manf"
"Tnf",3554.35672017033,-0.983170321502439,0.113538582564321,-8.65934996982597,4.74462056507076e-18,2.444342249296e-15,"Tnf"
"Osm",93.0359582918129,-1.0478501678443,0.122021309056751,-8.58743588266995,8.89317218619121e-18,3.8767389830112e-15,"Osm"
"Nucb2",114.689149067459,0.895961221729219,0.104312281910628,8.58922080236778,8.75611043712348e-18,3.8767389830112e-15,"Nucb2"
"Pdia4",380.771062266077,1.11664711162277,0.132530560712991,8.42558203644055,3.58961378171217e-17,1.4530243786402e-14,"Pdia4"
"P4hb",955.921596842123,0.630788312306931,0.0770893028408732,8.18256605081767,2.77862350291219e-16,1.04976395940023e-13,"P4hb"
"Zfp36",62.8066760742683,-0.920507547382289,0.115936130189472,-7.93978154935757,2.02537644647906e-15,7.17363020137301e-13,"Zfp36"
"Herpud1",399.906894622674,0.707756936824763,0.0936638146428981,7.5563539614861,4.14524832834821e-14,1.38183072216172e-11,"Herpud1"
"Slc35b1",118.859803446909,0.766880105434715,0.102945556618942,7.44937548177393,9.37831067219346e-14,2.95260480996224e-11,"Slc35b1"
"Flrt3",388.277977989981,-0.60291293927482,0.0810382085692485,-7.4398601587993,1.00791940096196e-13,3.00625223434285e-11,"Flrt3"
"Cxcl1",722.453290074695,-1.12621933899816,0.152771349345264,-7.37192768031981,1.68178248933967e-13,4.76533068354397e-11,"Cxcl1"
"Il1a",3128.74284048427,-0.847633100478814,0.119890428233019,-7.07006483312709,1.54861328011999e-12,4.17904355163808e-10,"Il1a"
"Serp1",690.755337851211,0.565093933018162,0.0815765906624461,6.92715800487974,4.29378932159247e-12,1.10604109479384e-09,"Serp1"
"Ptgs2",151.3869757169,-1.07856644103448,0.159653603403985,-6.7556661299106,1.4218048710879e-11,3.47035914285648e-09,"Ptgs2"
"Ereg",97.7089584418637,-1.02417854235011,0.151710823260798,-6.75086009248993,1.46971271269729e-11,3.47035914285648e-09,"Ereg"
"Slc7a11",534.243062441679,-0.537427552220058,0.0803198155032558,-6.69109545200927,2.2150611428936e-11,5.02110059871122e-09,"Slc7a11"
"Cfb",671.551087676873,-0.684832384245122,0.10268219306248,-6.66943667465708,2.56787149604797e-11,5.59697221850148e-09,"Cfb"
"Socs3",465.412217184881,-0.680957554142796,0.102669359343688,-6.63252949561395,3.29982372875294e-11,6.92596335957145e-09,"Socs3"
"H13",335.8932698621,0.438477245643501,0.0673101129432438,6.51428480016409,7.30368074595211e-11,1.47821281383252e-08,"H13"
"Il1b",4413.38855655086,-0.864923807768772,0.133763214481258,-6.46608121016681,1.00577040311214e-10,1.96541409463328e-08,"Il1b"
"Ddit3",25.1991904171634,1.0385666230159,0.160868237884381,6.45600795206281,1.07500962543679e-10,2.0306931824501e-08,"Ddit3"
"Cxcl2",1849.93278173672,-0.911148664232987,0.143131636049914,-6.3658090508743,1.94262989782241e-10,3.55125278418051e-08,"Cxcl2"
"Tnfaip3",501.909194104948,-0.710175218215817,0.114653911719246,-6.19407752920658,5.86273656696538e-10,1.03825400390602e-07,"Tnfaip3"
"Tnfsf9",218.156991001054,-0.827384691601147,0.134193831817884,-6.16559405445698,7.02190167537713e-10,1.20585202407158e-07,"Tnfsf9"
"Btg2",97.1560875153954,-0.612800552946675,0.0996336648889356,-6.15053710640656,7.72209888719457e-10,1.28709218805093e-07,"Btg2"
"Prkcsh",110.493348731183,0.648520138946419,0.106316841351202,6.09988154937867,1.06147094752222e-09,1.71867310274526e-07,"Prkcsh"
"Junb",525.936020828195,-0.443113964880864,0.0739969037144743,-5.98827711211635,2.12075510256311e-09,3.3384219906181e-07,"Junb"
"Dusp1",211.969357275584,-0.697257353567384,0.117058042659847,-5.95650958895247,2.57681999999992e-09,3.92841706482298e-07,"Dusp1"
"Spcs3",200.203312208777,0.453240745537717,0.0761377048222533,5.95290791331084,2.63419531433339e-09,3.92841706482298e-07,"Spcs3"
"Pf4",300.694633415798,-0.77421941120906,0.130170768553923,-5.94772098075412,2.71901558349512e-09,3.9509387978633e-07,"Pf4"
"Inhba",1053.53130391314,-0.61432095644357,0.1034989908165,-5.93552605293262,2.92904805330346e-09,4.14972882951768e-07,"Inhba"
"Dnajb11",211.987434982532,0.585516004468519,0.0989199451488512,5.91908945751492,3.23728855861738e-09,4.47456445406943e-07,"Dnajb11"
"Ttc17",28.4056139514064,0.904362472607097,0.156316913804076,5.78544221862392,7.2321817623463e-09,9.75827953505154e-07,"Ttc17"
"Derl1",203.891987436335,0.42911513445256,0.0742325417463477,5.78068761162516,7.43959210860264e-09,9.80469034405841e-07,"Derl1"
"Tram1",188.726849042253,0.63209961330252,0.110414263303946,5.72480035086126,1.03555448900008e-08,1.33374711117351e-06,"Tram1"
"C3ar1",108.794571562858,0.706406377683271,0.124418394807181,5.67766831245517,1.36543150466971e-08,1.71953340821406e-06,"C3ar1"
"Cxcl3",1203.9521028137,-0.819870901621232,0.144534656022582,-5.67248661451225,1.40739520579956e-08,1.73384970244916e-06,"Cxcl3"
"Fst",113.323464193177,-0.89199181925124,0.159995969722036,-5.57508930256753,2.47402918343502e-08,2.98304752819708e-06,"Fst"
"Ldha",2421.1233724168,-0.362345523532256,0.0650969829204388,-5.56624143357171,2.60292541413474e-08,3.07307881706282e-06,"Ldha"
"Errfi1",50.5845391637885,-0.827748478061787,0.149411322966413,-5.54006524825339,3.02358969994129e-08,3.49687404685046e-06,"Errfi1"
"Dnajb9",141.548039773455,0.522610532120708,0.0947590478992265,5.51515178451865,3.48479071674127e-08,3.94966179835456e-06,"Dnajb9"
"Nfkbiz",353.935703835929,-0.674368242774962,0.122444014165454,-5.50756398645763,3.63833183876782e-08,4.04282873143083e-06,"Nfkbiz"
