	Perturbation
0	OST-KO
1	OST-KO
2	OST-KO
3	OST-KO
4	OST-KO
5	OST-KO
6	OST-KO
7	OST-KO
8	OST-KO
9	OST-KO
10	OST-KO
11	OST-KO
12	OST-KO
13	OST-KO
14	OST-KO
15	OST-KO
16	OST-KO
17	OST-KO
18	OST-KO
19	OST-KO
20	OST-KO
21	OST-KO
22	OST-KO
23	OST-KO
24	OST-KO
25	OST-KO
26	OST-KO
27	OST-KO
28	OST-KO
29	OST-KO
30	OST-KO
31	OST-KO
32	OST-KO
33	OST-KO
34	OST-KO
35	OST-KO
36	OST-KO
37	OST-KO
38	OST-KO
39	OST-KO
40	OST-KO
41	OST-KO
42	OST-KO
43	OST-KO
44	OST-KO
45	OST-KO
46	OST-KO
47	OST-KO
48	OST-KO
49	OST-KO
50	OST-KO
51	OST-KO
52	OST-KO
53	OST-KO
54	OST-KO
55	OST-KO
56	OST-KO
57	OST-KO
58	OST-KO
59	OST-KO
60	OST-KO
61	OST-KO
62	OST-KO
63	OST-KO
64	OST-KO
65	OST-KO
66	OST-KO
67	OST-KO
68	OST-KO
69	OST-KO
70	OST-KO
71	OST-KO
72	OST-KO
73	OST-KO
74	OST-KO
75	OST-KO
76	OST-KO
77	OST-KO
78	OST-KO
79	OST-KO
80	OST-KO
81	OST-KO
82	OST-KO
83	OST-KO
84	OST-KO
85	OST-KO
86	OST-KO
87	OST-KO
88	OST-KO
89	OST-KO
90	OST-KO
91	OST-KO
92	OST-KO
93	OST-KO
94	OST-KO
95	OST-KO
96	OST-KO
97	OST-KO
98	OST-KO
99	OST-KO
100	OST-KO
101	OST-KO
102	OST-KO
103	OST-KO
104	OST-KO
105	OST-KO
106	OST-KO
107	OST-KO
108	OST-KO
109	OST-KO
110	OST-KO
111	OST-KO
112	OST-KO
113	OST-KO
114	OST-KO
115	OST-KO
116	OST-KO
117	OST-KO
118	OST-KO
119	OST-KO
120	OST-KO
121	OST-KO
122	OST-KO
123	OST-KO
124	OST-KO
125	OST-KO
126	OST-KO
127	OST-KO
128	OST-KO
129	OST-KO
130	OST-KO
131	OST-KO
132	OST-KO
133	OST-KO
134	OST-KO
135	OST-KO
136	OST-KO
137	OST-KO
138	OST-KO
139	OST-KO
140	OST-KO
141	OST-KO
142	OST-KO
143	OST-KO
144	OST-KO
145	OST-KO
146	OST-KO
147	OST-KO
148	OST-KO
149	OST-KO
150	OST-KO
151	OST-KO
152	OST-KO
153	OST-KO
154	OST-KO
155	OST-KO
156	OST-KO
157	OST-KO
158	OST-KO
159	OST-KO
160	OST-KO
161	OST-KO
162	OST-KO
163	OST-KO
164	OST-KO
165	OST-KO
166	OST-KO
167	OST-KO
168	OST-KO
169	OST-KO
170	OST-KO
171	OST-KO
172	OST-KO
173	OST-KO
174	OST-KO
175	OST-KO
176	OST-KO
177	OST-KO
178	OST-KO
179	OST-KO
180	OST-KO
181	OST-KO
182	OST-KO
183	OST-KO
184	OST-KO
185	OST-KO
186	OST-KO
187	OST-KO
188	OST-KO
189	OST-KO
190	OST-KO
191	OST-KO
192	OST-KO
193	OST-KO
194	OST-KO
195	OST-KO
196	OST-KO
197	OST-KO
198	OST-KO
199	OST-KO
200	OST-KO
201	OST-KO
202	OST-KO
203	OST-KO
204	OST-KO
205	OST-KO
206	OST-KO
207	OST-KO
208	OST-KO
209	OST-KO
210	OST-KO
211	OST-KO
212	OST-KO
213	OST-KO
214	OST-KO
215	OST-KO
216	OST-KO
217	OST-KO
218	OST-KO
219	OST-KO
220	OST-KO
221	OST-KO
222	OST-KO
223	OST-KO
224	OST-KO
225	OST-KO
226	OST-KO
227	OST-KO
228	OST-KO
229	OST-KO
230	OST-KO
231	OST-KO
232	OST-KO
233	OST-KO
234	OST-KO
235	OST-KO
236	OST-KO
237	OST-KO
238	OST-KO
239	OST-KO
240	OST-KO
241	OST-KO
242	OST-KO
243	OST-KO
244	OST-KO
245	OST-KO
246	OST-KO
247	OST-KO
248	OST-KO
249	OST-KO
250	OST-KO
251	OST-KO
252	OST-KO
253	OST-KO
254	OST-KO
255	OST-KO
256	OST-KO
257	OST-KO
258	OST-KO
259	OST-KO
260	OST-KO
261	OST-KO
262	OST-KO
263	OST-KO
264	OST-KO
265	OST-KO
266	OST-KO
267	OST-KO
268	OST-KO
269	OST-KO
270	OST-KO
271	OST-KO
272	OST-KO
273	OST-KO
274	OST-KO
275	OST-KO
276	OST-KO
277	OST-KO
278	OST-KO
279	OST-KO
280	OST-KO
281	OST-KO
282	OST-KO
283	OST-KO
284	OST-KO
285	OST-KO
286	OST-KO
287	OST-KO
288	OST-KO
289	OST-KO
290	OST-KO
291	OST-KO
292	OST-KO
293	OST-KO
294	OST-KO
295	OST-KO
296	OST-KO
297	OST-KO
298	OST-KO
299	OST-KO
300	OST-KO
301	OST-KO
302	OST-KO
303	OST-KO
304	OST-KO
305	OST-KO
306	OST-KO
307	OST-KO
308	OST-KO
309	OST-KO
310	OST-KO
311	OST-KO
312	OST-KO
313	OST-KO
314	OST-KO
315	OST-KO
316	OST-KO
317	OST-KO
318	OST-KO
319	OST-KO
320	OST-KO
321	OST-KO
322	OST-KO
323	OST-KO
324	OST-KO
325	OST-KO
326	OST-KO
327	OST-KO
328	OST-KO
329	OST-KO
330	OST-KO
331	OST-KO
332	OST-KO
333	OST-KO
334	OST-KO
335	OST-KO
336	OST-KO
337	OST-KO
338	OST-KO
339	OST-KO
340	OST-KO
341	OST-KO
342	OST-KO
343	OST-KO
344	OST-KO
345	OST-KO
346	OST-KO
347	OST-KO
348	OST-KO
349	OST-KO
350	OST-KO
351	OST-KO
352	OST-KO
353	OST-KO
354	OST-KO
355	OST-KO
356	OST-KO
357	OST-KO
358	OST-KO
359	OST-KO
360	OST-KO
361	OST-KO
362	OST-KO
363	OST-KO
364	OST-KO
365	OST-KO
366	OST-KO
367	OST-KO
368	OST-KO
369	OST-KO
370	OST-KO
371	OST-KO
372	OST-KO
373	OST-KO
374	OST-KO
375	OST-KO
376	OST-KO
377	OST-KO
378	OST-KO
379	OST-KO
380	OST-KO
381	OST-KO
382	OST-KO
383	OST-KO
384	OST-KO
385	OST-KO
386	OST-KO
387	OST-KO
388	OST-KO
389	OST-KO
390	OST-KO
391	OST-KO
392	OST-KO
393	OST-KO
394	OST-KO
395	OST-KO
396	OST-KO
397	OST-KO
398	OST-KO
399	OST-KO
400	OST-KO
401	OST-KO
402	OST-KO
403	OST-KO
404	OST-KO
405	OST-KO
406	OST-KO
407	OST-KO
408	OST-KO
409	OST-KO
410	OST-KO
411	OST-KO
412	OST-KO
413	OST-KO
414	OST-KO
415	OST-KO
416	OST-KO
417	OST-KO
418	OST-KO
419	OST-KO
420	OST-KO
421	OST-KO
422	OST-KO
423	OST-KO
424	OST-KO
425	OST-KO
426	OST-KO
427	OST-KO
428	OST-KO
429	OST-KO
430	OST-KO
431	OST-KO
432	OST-KO
433	OST-KO
434	OST-KO
435	OST-KO
436	OST-KO
437	OST-KO
438	OST-KO
439	OST-KO
440	OST-KO
441	OST-KO
442	OST-KO
443	OST-KO
444	OST-KO
445	OST-KO
446	OST-KO
447	OST-KO
448	OST-KO
449	OST-KO
450	OST-KO
451	OST-KO
452	OST-KO
453	OST-KO
454	OST-KO
455	OST-KO
456	OST-KO
457	OST-KO
458	OST-KO
459	OST-KO
460	OST-KO
461	OST-KO
462	OST-KO
463	OST-KO
464	OST-KO
465	OST-KO
466	OST-KO
467	OST-KO
468	OST-KO
469	OST-KO
470	OST-KO
471	OST-KO
472	OST-KO
473	OST-KO
474	OST-KO
475	OST-KO
476	OST-KO
477	OST-KO
478	OST-KO
479	OST-KO
480	OST-KO
481	OST-KO
482	OST-KO
483	OST-KO
484	OST-KO
485	OST-KO
486	OST-KO
487	OST-KO
488	OST-KO
489	OST-KO
490	OST-KO
491	OST-KO
492	OST-KO
493	OST-KO
494	OST-KO
495	OST-KO
496	OST-KO
497	OST-KO
498	OST-KO
499	OST-KO
500	OST-KO
501	OST-KO
502	OST-KO
503	OST-KO
504	OST-KO
505	OST-KO
506	OST-KO
507	OST-KO
508	OST-KO
509	OST-KO
510	OST-KO
511	OST-KO
512	OST-KO
513	OST-KO
514	OST-KO
515	OST-KO
516	OST-KO
517	OST-KO
518	OST-KO
519	OST-KO
520	OST-KO
521	OST-KO
522	OST-KO
523	OST-KO
524	OST-KO
525	OST-KO
526	OST-KO
527	OST-KO
528	OST-KO
529	OST-KO
530	OST-KO
531	OST-KO
532	OST-KO
533	OST-KO
534	OST-KO
535	OST-KO
536	OST-KO
537	OST-KO
538	OST-KO
539	OST-KO
540	OST-KO
541	OST-KO
542	OST-KO
543	OST-KO
544	OST-KO
545	OST-KO
546	OST-KO
547	OST-KO
548	OST-KO
549	OST-KO
550	OST-KO
551	OST-KO
552	OST-KO
553	OST-KO
554	OST-KO
555	OST-KO
556	OST-KO
557	OST-KO
558	OST-KO
559	OST-KO
560	OST-KO
561	OST-KO
562	OST-KO
563	OST-KO
564	OST-KO
565	OST-KO
566	OST-KO
567	OST-KO
568	OST-KO
569	OST-KO
570	OST-KO
571	OST-KO
572	OST-KO
573	OST-KO
574	OST-KO
575	OST-KO
576	OST-KO
577	OST-KO
578	OST-KO
579	OST-KO
580	OST-KO
581	OST-KO
582	OST-KO
583	OST-KO
584	OST-KO
585	OST-KO
586	OST-KO
587	OST-KO
588	OST-KO
589	OST-KO
590	OST-KO
591	OST-KO
592	OST-KO
593	OST-KO
594	OST-KO
595	OST-KO
596	OST-KO
597	OST-KO
598	OST-KO
599	OST-KO
600	OST-KO
601	OST-KO
602	OST-KO
603	OST-KO
604	OST-KO
605	OST-KO
606	OST-KO
607	OST-KO
608	OST-KO
609	OST-KO
610	OST-KO
611	OST-KO
612	OST-KO
613	OST-KO
614	OST-KO
615	OST-KO
616	OST-KO
617	OST-KO
618	OST-KO
619	OST-KO
620	OST-KO
621	OST-KO
622	OST-KO
623	OST-KO
624	OST-KO
625	OST-KO
626	OST-KO
627	OST-KO
628	OST-KO
629	OST-KO
630	OST-KO
631	OST-KO
632	OST-KO
633	OST-KO
634	OST-KO
635	OST-KO
636	OST-KO
637	OST-KO
638	OST-KO
639	OST-KO
640	OST-KO
