,Avg Length,Avg GC,Avg KPK
5S_rRNA,111.851851852,0.511856345454,1000.0
5_8S_rRNA,151.6,0.500017427675,1000.0
7SK,274.0,0.472752078728,1000.0
A1BG,1509.8,0.623733138755,997.58161388
A1BG-AS1,1158.71428571,0.598028232437,1000.0
A1CF,4643.6,0.411840282988,999.572503149
A2M,909.692307692,0.459595499366,999.546176537
A2M-AS1,2192.0,0.445711678832,1000.0
A2ML1,1765.33333333,0.489418015941,999.978876215
A2ML1-AS1,452.0,0.380530973451,1000.0
A2ML1-AS2,386.0,0.497409326425,1000.0
A2MP1,1715.0,0.425449778978,1000.0
A3GALT2,1023.0,0.666666666667,1000.0
A4GALT,1477.2,0.612774801524,1000.0
A4GNT,1771.0,0.466403162055,1000.0
AA06,632.0,0.46835443038,1000.0
AAAS,961.35,0.555539832829,998.807367893
AACS,2153.16666667,0.538423670844,997.007163927
AACSP1,1958.5,0.544356475054,1000.0
AADAC,1180.5,0.400375911191,1000.0
AADACL2,3167.5,0.365188342977,992.656185354
AADACL2-AS1,554.0,0.524688163482,1000.0
AADACL3,3747.0,0.492116674781,1000.0
AADACL4,1575.0,0.489523809524,1000.0
AADACP1,729.333333333,0.376116477666,1000.0
AADAT,1458.5,0.429640511959,999.070231017
AAED1,2140.75,0.444754731986,980.677580601
AAGAB,1398.0,0.454546796494,1000.0
AAK1,3971.64285714,0.499375252504,993.56324533
AAMDC,570.363636364,0.499501254085,999.865519096
AAMP,1368.4,0.590661725213,1000.0
AANAT,1048.0,0.628839866758,1000.0
AAR2,2195.0,0.547712113548,1000.0
AARD,1399.5,0.519667246629,992.778993435
AARS,1064.0,0.525216209916,1000.0
AARS2,2294.5,0.587731449612,1000.0
AARSD1,675.789473684,0.522925159258,998.561692008
AARSP1,453.0,0.498896247241,1000.0
AASDH,2456.9,0.39264922028,1000.0
AASDHPPT,2109.8,0.380050703561,1000.0
AASS,2473.28571429,0.425581276772,1000.0
AATF,875.444444444,0.519182820181,1000.0
AATK,2121.8,0.667355155863,999.406518827
AATK-AS1,1532.5,0.651957362557,1000.0
AB015752.3,578.0,0.455017301038,1000.0
AB019438.66,141.0,0.581560283688,1000.0
AB019440.50,389.0,0.442159383033,1000.0
AB019441.29,627.0,0.532695374801,1000.0
ABAT,1659.125,0.535070132214,1000.0
ABBA01010927.1,115.0,0.678260869565,1000.0
ABBA01010927.2,73.0,0.397260273973,1000.0
ABBA01014710.1,139.0,0.273381294964,1000.0
ABBA01015879.1,136.0,0.279411764706,1000.0
ABBA01017803.1,2604.0,0.425499231951,1000.0
ABBA01031658.1,115.0,0.704347826087,1000.0
ABBA01031663.1,80.0,0.4,1000.0
ABBA01031664.1,1087.0,0.426862925483,998.136067102
ABBA01031674.1,80.0,0.425,1000.0
ABC12-47043100G14.2,184.0,0.375,1000.0
ABC12-47964100C23.1,1038.0,0.553949903661,1000.0
ABC12-49244600F4.4,751.0,0.496671105193,1000.0
ABC14-1080714F14.1,341.0,0.357771260997,1000.0
ABC7-42391500H16.2,464.0,0.495689655172,1000.0
ABC7-42418200C9.1,1518.33333333,0.396838386713,999.281166564
ABC7-43041300I9.1,454.0,0.497797356828,1000.0
ABC7-481722F1.1,446.0,0.486547085202,1000.0
ABCA1,3441.0,0.491827624964,999.833015267
ABCA10,2501.25,0.383869409218,999.677919505
ABCA11P,1712.75,0.432752729691,1000.0
ABCA12,5530.0,0.424462716201,1000.0
ABCA13,6048.75,0.448186734766,1000.0
ABCA17P,1795.83333333,0.486186839337,999.840281105
ABCA2,3062.375,0.642544813818,997.705993707
ABCA3,3340.16666667,0.599527872957,1000.0
ABCA4,2010.28571429,0.512031299253,1000.0
ABCA5,2531.35714286,0.384136926888,996.920421077
ABCA6,2818.71428571,0.384530256402,999.89511223
ABCA7,1665.05263158,0.640611992323,999.903608249
ABCA8,2376.4,0.422951032256,999.006530392
ABCA9,2274.5,0.398403790061,997.354011848
ABCA9-AS1,523.0,0.413001912046,1000.0
ABCB1,1844.54545455,0.440048954172,999.529037663
ABCB10,1782.0,0.421794108172,1000.0
ABCB10P1,2181.0,0.563044475011,1000.0
ABCB10P3,2166.0,0.561865189289,1000.0
ABCB10P4,2184.0,0.561813186813,1000.0
ABCB11,2724.33333333,0.441403981597,999.811278245
ABCB4,2106.7,0.435861883945,998.847492502
ABCB5,2554.0,0.413818117989,999.367488931
ABCB6,1194.23076923,0.551751154532,1000.0
ABCB7,1458.3,0.439938721737,1000.0
ABCB8,1541.63636364,0.607216220578,999.328365738
ABCB9,2182.66666667,0.593628618831,999.023841159
ABCC1,2841.75,0.558414430239,998.589709587
ABCC10,1899.2,0.584850105906,999.592271136
ABCC11,2859.55555556,0.509142124639,1000.0
ABCC12,2722.08333333,0.501047626394,1000.0
ABCC13,2555.5,0.405337346626,998.981221762
ABCC2,2517.0,0.447680435305,1000.0
ABCC3,1657.0,0.565817623103,999.856445593
